test_case_id,food_matrix,cheese_category,temperature,packaging,indicator,ingredient,true_shelf_life_days,prediction_days,error_days,abs_error_days,pct_error,ground_truth_type,validation_priority,paper_url
TC061,ricotta,soft,4,map_30co2_70n2,total_viable_count,none,15.0,9.778493881225586,-5.221506118774414,5.221506118774414,34.81004079182943,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/27800345/
TC062,ricotta,soft,4,map_30co2_70n2,yeasts_molds,none,15.0,10.255014419555664,-4.744985580444336,4.744985580444336,31.63323720296224,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/27800345/
TC055,ricotta,soft,4,sealed_container,total_viable_count,none,3.0,7.628056526184082,4.628056526184082,4.628056526184082,154.26855087280273,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/27800345/
TC054,ricotta,soft,4,sealed_container,sensory_acceptability,none,3.0,7.599686145782471,4.599686145782471,4.599686145782471,153.32287152608234,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/27800345/
TC088,queso fresco,soft,7,air_permeable_wrap,listeria_monocytogenes,none,7.0,2.761638641357422,-4.238361358642578,4.238361358642578,60.54801940917969,PROXY_EVENT,C_SAFETY_PROXY,https://pubmed.ncbi.nlm.nih.gov/29960774/
TC048,fresh cheese,soft,4,map_40co2_60n2,yeasts_molds,none,18.0,21.23348999023437,3.2334899902343714,3.2334899902343714,17.96383327907984,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC052,fresh cheese,soft,4,map_30co2_70n2,yeasts_molds,none,18.0,21.07208824157715,3.0720882415771484,3.0720882415771484,17.067156897650825,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC070,galotyri,soft,4,sealed_container,yeasts,nisin,18.5,15.574393272399902,-2.9256067276000977,2.9256067276000977,15.814090419459987,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC040,fresh cheese,soft,4,air_permeable_wrap,yeasts_molds,none,9.0,11.66739273071289,2.6673927307128906,2.6673927307128906,29.637697007921005,EXACT,B_OVERALL_SHELF_LIFE,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC067,galotyri,soft,4,sealed_container,sensory_acceptability,nisin,18.5,15.85371208190918,-2.6462879180908203,2.6462879180908203,14.304259016707139,RANGE_MIDPOINT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC049,fresh cheese,soft,4,map_40co2_60n2,sensory_acceptability,none,18.0,20.625991821289062,2.6259918212890625,2.6259918212890625,14.588843451605904,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC002,fresh mozzarella,soft,7,sealed_container,psychrophilic_bacteria,none,4.0,6.4984307289123535,2.4984307289123535,2.4984307289123535,62.46076822280884,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC053,fresh cheese,soft,4,map_30co2_70n2,sensory_acceptability,none,18.0,20.46459007263184,2.4645900726318395,2.4645900726318395,13.692167070176886,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC046,fresh cheese,soft,4,map_40co2_60n2,aerobic_plate_count,none,18.0,20.42003059387207,2.4200305938720703,2.4200305938720703,13.44461441040039,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC047,fresh cheese,soft,4,map_40co2_60n2,enterobacteriaceae,none,18.0,20.31209945678711,2.3120994567871094,2.3120994567871094,12.844996982150608,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC050,fresh cheese,soft,4,map_30co2_70n2,aerobic_plate_count,none,18.0,20.258628845214844,2.2586288452148438,2.2586288452148438,12.547938028971354,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC003,fresh mozzarella,soft,7,sealed_container,lactic_acid_bacteria,none,4.0,6.234903335571289,2.234903335571289,2.234903335571289,55.87258338928223,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC004,fresh mozzarella,soft,7,sealed_container,yeasts_molds,none,4.0,6.225752353668213,2.225752353668213,2.225752353668213,55.64380884170532,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC041,fresh cheese,soft,4,air_permeable_wrap,sensory_acceptability,none,9.0,11.145709991455078,2.145709991455078,2.145709991455078,23.841222127278648,EXACT,A_STRICT,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC051,fresh cheese,soft,4,map_30co2_70n2,enterobacteriaceae,none,18.0,20.108348846435547,2.108348846435547,2.108348846435547,11.713049146864149,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC090,queso fresco,soft,7,sealed_high_barrier,listeria_monocytogenes,none,7.0,5.058212757110596,-1.9417872428894043,1.9417872428894043,27.739817755562918,PROXY_EVENT,C_SAFETY_PROXY,https://pubmed.ncbi.nlm.nih.gov/29960774/
TC001,fresh mozzarella,soft,7,sealed_container,mesophilic_bacteria,none,4.0,5.9274725914001465,1.9274725914001465,1.9274725914001465,48.18681478500366,EXACT,A_STRICT,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC038,fresh cheese,soft,4,air_permeable_wrap,aerobic_plate_count,none,9.0,10.899901390075684,1.8999013900756836,1.8999013900756836,21.110015445285374,EXACT,B_OVERALL_SHELF_LIFE,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC069,galotyri,soft,4,sealed_container,lactococcus_spp,nisin,18.5,16.722707748413086,-1.777292251586914,1.777292251586914,9.60698514371305,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC039,fresh cheese,soft,4,air_permeable_wrap,enterobacteriaceae,none,9.0,10.717708587646484,1.7177085876464844,1.7177085876464844,19.085650973849827,EXACT,B_OVERALL_SHELF_LIFE,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC068,galotyri,soft,4,sealed_container,lactobacillus_spp,nisin,18.5,16.995220184326172,-1.5047798156738281,1.5047798156738281,8.13394494958826,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC098,paneer,soft,7,sealed_container,sensory_acceptability,none,7.0,8.424018859863281,1.4240188598632812,1.4240188598632812,20.343126569475448,EXACT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/25829584/
TC016,fresh mozzarella,soft,7,sealed_container,yeasts_molds,natamycin,8.0,9.394659996032717,1.3946599960327166,1.3946599960327166,17.433249950408957,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC059,ricotta,soft,4,vacuum,yeasts_molds,none,7.5,8.88986587524414,1.3898658752441406,1.3898658752441406,18.53154500325521,APPROX_FROM_PAPER,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/27800345/
TC015,fresh mozzarella,soft,7,sealed_container,lactic_acid_bacteria,natamycin,8.0,9.260489463806152,1.2604894638061523,1.2604894638061523,15.756118297576904,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC089,queso fresco,soft,7,vacuum,listeria_monocytogenes,none,7.0,5.807830810546875,-1.192169189453125,1.192169189453125,17.030988420758927,PROXY_EVENT,C_SAFETY_PROXY,https://pubmed.ncbi.nlm.nih.gov/29960774/
